id,user,chat,query,model,stage,latency,status,feedback,date,time,retryCount
Q-L-01,user_10,C-L-01,2025년 12월 17일 기준으로 서울 지역에서 가장 많이 팔린 상위 5개 품목의 매출 트렌드를 월별로 비교해서 보여주고 전년 대비 성장률도 함께 계산해줘,GPT-4,5. 결과 요약,2.1s,SUCCESS,5,2025-12-17,09:15:00,0
Q-L-02,manager,C-L-02,최근 3개월 동안 발생한 시스템 에러 로그 중에서 'Timeout' 관련 오류가 발생한 시간대별 빈도수를 분석하고 특정 서버에 집중되어 있는지 확인해줘,Claude 3.5,5. 결과 요약,1.8s,SUCCESS,4,2025-12-17,10:20:15,0
Q-L-03,user_03,C-L-03,이번 달 마케팅 캠페인 'Winter Sale'을 통해 유입된 신규 고객들의 첫 구매 평균 금액과 재구매율이 어떻게 되는지 궁금해,Llama 3,2. 질문 분석,0.6s,FAIL,1,2025-12-17,11:00:10,0
Q-L-04,admin,C-L-04,현재 데이터베이스의 활성 세션 수가 임계치를 초과하는 경우가 잦은데 주로 어떤 쿼리가 리소스를 많이 점유하고 있는지 실행 계획이 비효율적인 상위 10개 쿼리 추출해줘,GPT-4,5. 결과 요약,3.5s,SUCCESS,5,2025-12-17,12:45:00,0
Q-L-05,user_12,C-L-05,재고 관리 시스템에서 현재 '품절 임박' 상태인 상품들 중에서 재입고 예정일이 설정되어 있지 않은 상품 리스트를 뽑아주고 담당 MD 정보도 같이 표시해줘,Claude 3.5,4. SQL 생성,2.9s,ERROR,2,2025-12-17,13:50:20,1
Q-L-06,manager,C-L-06,고객 만족도 설문조사 결과에서 '배송' 관련 키워드가 포함된 부정적인 피드백만 따로 필터링해서 보고 싶고 해당 주문의 배송 지연 여부도 같이 확인해줘,GPT-4,5. 결과 요약,1.6s,SUCCESS,5,2025-12-17,14:30:45,0
Q-L-07,user_05,C-L-07,특정 카테고리(전자제품) 내에서 사용자 검색어 순위가 급상승하고 있는 키워드 10개와 해당 키워드로 검색했을 때 클릭률이 높은 상품 매칭 정보를 알려줘,Llama 3,5. 결과 요약,1.0s,SUCCESS,3,2025-12-17,16:10:00,0
Q-L-08,user_02,C-L-08,지난주 금요일부터 일요일까지 발생한 50만원 이상 결제 건들에 대해서 결제 수단별 비중을 파이 차트로 시각화할 수 있게 데이터 정리해줘,Claude 3.5,3. 메타 조회,1.3s,FAIL,null,2025-12-17,17:20:30,0
Q-L-09,admin,C-L-09,전체 사용자 중에서 최근 6개월간 접속 이력이 없다가 이번 달에 다시 접속한 '복귀 유저'의 수와 그들이 주로 이용하는 서비스 메뉴가 무엇인지 분석해줘,GPT-4,5. 결과 요약,1.2s,SUCCESS,5,2025-12-17,18:40:55,0
Q-L-10,user_08,C-L-10,회원 등급이 'VIP' 이상인 고객들 중에서 최근 1주일 이내에 고객센터에 문의글을 남긴 내역이 있는 고객 명단과 문의 처리가 완료되지 않은 건수 조회해줘,GPT-4,1. 모델 상태 확인,0.4s,BLOCKED,null,2025-12-17,19:15:00,0
Q-L-11,user_10,C-L-11,18일 하루 동안 강남구와 서초구 지역에서 발생한 배달 주문 건수 중에서 배달 소요 시간이 50분을 초과한 건들이 전체의 몇 퍼센트인지 계산해줘,GPT-4,5. 결과 요약,1.9s,SUCCESS,5,2025-12-18,09:30:00,0
Q-L-12,manager,C-L-12,사내 메신저 사용량 통계에서 부서별로 하루 평균 메시지 전송량이 가장 많은 시간대가 언제인지 히트맵으로 그릴 수 있게 시간대별 데이터 뽑아줘,Claude 3.5,5. 결과 요약,1.7s,SUCCESS,4,2025-12-18,10:45:10,0
Q-L-13,user_03,C-L-13,클라우드 비용 청구서 상세 내역을 바탕으로 전월 대비 비용이 20% 이상 증가한 인스턴스 목록과 그 원인이 스토리지 증가인지 트래픽 증가인지 분석해줘,Llama 3,5. 결과 요약,1.5s,SUCCESS,4,2025-12-18,11:20:25,0
Q-L-14,admin,C-L-14,보안 감사 로그에서 'Password Reset' 시도가 짧은 시간 내에 5회 이상 실패한 계정을 찾고 해당 IP 주소의 지리적 위치 정보도 함께 보여줘,GPT-4,5. 결과 요약,2.2s,SUCCESS,5,2025-12-18,13:10:40,0
Q-L-15,user_12,C-L-15,영업팀별 이번 분기 목표 달성률 현황을 보여주는데 달성률이 80% 미만인 팀은 빨간색으로 표시할 수 있도록 별도 플래그 컬럼을 추가해서 데이터 줘,Claude 3.5,3. 메타 조회,1.9s,FAIL,2,2025-12-18,14:50:00,1
Q-L-16,manager,C-L-16,앱 다운로드 수가 가장 많은 국가 상위 10곳의 최근 1주일간 DAU(Daily Active Users) 추이를 꺾은선 그래프로 비교하고 싶어 데이터 준비해줘,GPT-4,5. 결과 요약,1.4s,SUCCESS,5,2025-12-18,15:40:15,0
Q-L-17,user_05,C-L-17,상품 리뷰 텍스트 마이닝 결과에서 '가성비', '디자인', '품질' 세 가지 키워드에 대한 긍정/부정 비율이 제품 카테고리별로 어떻게 다른지 비교 분석해줘,Llama 3,5. 결과 요약,1.1s,SUCCESS,3,2025-12-18,16:55:30,0
Q-L-18,user_02,C-L-18,30대 여성 고객들이 가장 선호하는 색상 옵션이 무엇인지 의류 카테고리 판매 데이터를 기반으로 분석하고 재고가 충분한지 확인해줘,Claude 3.5,5. 결과 요약,2.0s,SUCCESS,4,2025-12-18,17:30:50,0
Q-L-19,admin,C-L-19,API 게이트웨이 로그를 분석해서 응답 시간이 1초를 초과하는 요청들의 공통적인 패턴(특정 엔드포인트나 클라이언트 버전 등)을 찾아내줘,GPT-4,4. SQL 검증,2.5s,ERROR,1,2025-12-18,18:20:05,2
Q-L-20,user_08,C-L-20,장바구니에 담아두고 3일 이상 구매하지 않은 고객들에게 보낼 푸시 알림 타겟 리스트를 추출하고 예상되는 구매 전환 매출액을 시뮬레이션해줘,GPT-4,5. 결과 요약,1.3s,SUCCESS,5,2025-12-18,19:45:00,0
Q-L-21,user_10,C-L-21,19일 당일 예약된 회의실 현황을 보여주고 예약 취소율이 가장 높은 부서가 어디인지와 주로 취소되는 시간대가 오전인지 오후인지 알려줘,GPT-4,5. 결과 요약,1.2s,SUCCESS,5,2025-12-19,09:40:00,0
Q-L-22,manager,C-L-22,회사 내 카페테리아 메뉴 중에서 임직원들이 가장 많이 주문한 음료와 베이커리 조합 TOP 5를 뽑아주고 요일별로 선호 메뉴가 달라지는지 확인해줘,Claude 3.5,5. 결과 요약,1.6s,SUCCESS,4,2025-12-19,10:55:20,0
Q-L-23,user_03,C-L-23,프로젝트 협업 툴에서 완료 기한이 지났는데도 상태가 '진행 중'으로 남아있는 태스크 목록을 담당자와 함께 리스팅하고 지연된 일수를 계산해줘,Llama 3,2. 질문 분석,0.7s,BLOCKED,null,2025-12-19,11:30:45,0
Q-L-24,admin,C-L-24,시스템 백업 작업이 정상적으로 완료되지 않은 날짜와 에러 코드를 최근 1년 치 이력에서 찾아내고 백업 실패가 가장 잦은 요일이 언제인지 분석해줘,GPT-4,5. 결과 요약,2.8s,SUCCESS,5,2025-12-19,13:20:10,0
Q-L-25,user_12,C-L-25,신규 입사자 온보딩 프로그램 수료율과 입사 3개월 후 업무 평가 점수 간의 상관관계를 분석해서 온보딩 교육의 효과성을 검증할 수 있는 데이터 줘,Claude 3.5,5. 결과 요약,1.9s,SUCCESS,null,2025-12-19,14:40:30,0
Q-L-26,manager,C-L-26,경쟁사 제품 가격 변동 추적 시스템에서 최근 일주일 동안 가격을 인하한 경쟁사 품목 리스트와 우리의 대응 가격 정책이 반영되었는지 확인해줘,GPT-4,5. 결과 요약,1.5s,SUCCESS,5,2025-12-19,15:50:55,0
Q-L-27,user_05,C-L-27,고객 등급 산정 기준이 변경된 이후로 등급이 하락한 고객들의 불만 접수 건수가 증가했는지 이전 기간과 비교해서 수치로 보여줘,Llama 3,5. 결과 요약,1.3s,SUCCESS,3,2025-12-19,16:30:20,0
Q-L-28,user_02,C-L-28,SNS 채널별로 우리 브랜드에 대한 언급량 추이를 시계열 그래프로 그리고 긍정/부정 감성 분석 점수도 일별로 합산해서 보여줘,Claude 3.5,5. 결과 요약,2.4s,SUCCESS,4,2025-12-19,17:45:00,0
Q-L-29,admin,C-L-29,내부 네트워크 트래픽 모니터링 결과 특정 포트에서 비정상적으로 많은 패킷이 전송된 기록이 있는지 최근 24시간 데이터를 전수 검사해줘,GPT-4,5. 결과 요약,3.0s,SUCCESS,5,2025-12-19,18:55:40,0
Q-L-30,user_08,C-L-30,분기별 재무 보고서 작성을 위해 필요한 매출, 영업이익, 순이익 데이터를 지난 3년 치를 월 단위로 정리해서 엑셀로 다운로드할 수 있게 표로 만들어줘,GPT-4,5. 결과 요약,1.4s,SUCCESS,5,2025-12-19,19:50:00,0
