id,user,chat,query,model,stage,status,feedbackScore,date,time,retryCount,feedbackComment
Q-PILOT-001,user_12,C-735,고객 만족도 설문조사 결과에서 '배송' 관련 키워드가 포함된 부정적인 피드백만 따로 필터링해서 보고 싶고 해당 주문의 배송 지연 여부도 같이 확인해줘,GPT-4,1. 모델 상태 확인,BLOCKED,,2025-12-17,13:33:51,0,
Q-PILOT-002,user_01,C-514,재고 관리 시스템에서 현재 '품절 임박' 상태인 상품들 중에서 재입고 예정일이 설정되어 있지 않은 상품 리스트를 뽑아주고 담당 MD 정보도 같이 표시해줘,Llama 3,5. 결과 요약,SUCCESS,,2025-12-17,19:56:50,0,
Q-PILOT-003,user_01,C-899,2025년 12월 17일 기준으로 서울 지역에서 가장 많이 팔린 상위 5개 품목의 매출 트렌드를 월별로 비교해서 보여주고 전년 대비 성장률도 함께 계산해줘,Claude 3.5,1. 모델 상태 확인,BLOCKED,,2025-12-17,19:17:22,0,
Q-PILOT-004,user_08,C-856,결제 수단별 매출 비중 파이 차트로,GPT-4,5. 결과 요약,SUCCESS,4,2025-12-17,18:25:46,0,사용자 피드백 내용 예시
Q-PILOT-005,user_02,C-560,특정 IP에서 시도된 비정상 접근 로그,Claude 3.5,4. SQL 생성,ERROR,1,2025-12-17,12:01:54,2,사용자 피드백 내용 예시
Q-PILOT-006,manager,C-595,2025년 12월 17일 기준으로 서울 지역에서 가장 많이 팔린 상위 5개 품목의 매출 트렌드를 월별로 비교해서 보여주고 전년 대비 성장률도 함께 계산해줘,Llama 3,2. 질문 분석,FAIL,1,2025-12-17,18:34:40,0,사용자 피드백 내용 예시
Q-PILOT-007,user_01,C-731,이번 달 가장 많이 팔린 상품 10개,GPT-4,5. 결과 요약,SUCCESS,3,2025-12-17,11:50:51,0,사용자 피드백 내용 예시
Q-PILOT-008,user_01,C-794,이번 달 가장 많이 팔린 상품 10개,Claude 3.5,4. SQL 생성,ERROR,1,2025-12-17,09:51:08,0,사용자 피드백 내용 예시
Q-PILOT-009,user_04,C-894,최근 3개월간 월별 사용자 증가 추이,Claude 3.5,5. 결과 요약,SUCCESS,4,2025-12-17,15:16:57,0,사용자 피드백 내용 예시
Q-PILOT-010,user_12,C-817,고객 만족도 설문조사 결과에서 '배송' 관련 키워드가 포함된 부정적인 피드백만 따로 필터링해서 보고 싶고 해당 주문의 배송 지연 여부도 같이 확인해줘,Llama 3,2. 질문 분석,FAIL,2,2025-12-17,13:33:46,0,사용자 피드백 내용 예시
Q-PILOT-011,user_08,C-463,강남구 지역 배달 지연 건수,Claude 3.5,5. 결과 요약,SUCCESS,3,2025-12-17,18:48:06,0,사용자 피드백 내용 예시
Q-PILOT-012,manager,C-773,서버 로그 중 에러 발생 비율,GPT-4,5. 결과 요약,SUCCESS,,2025-12-17,18:29:47,0,
Q-PILOT-013,user_04,C-327,고객 만족도 설문조사 결과에서 '배송' 관련 키워드가 포함된 부정적인 피드백만 따로 필터링해서 보고 싶고 해당 주문의 배송 지연 여부도 같이 확인해줘,Claude 3.5,1. 모델 상태 확인,BLOCKED,1,2025-12-17,12:36:40,0,사용자 피드백 내용 예시
Q-PILOT-014,user_02,C-534,최근 3개월간 월별 사용자 증가 추이,Claude 3.5,5. 결과 요약,SUCCESS,4,2025-12-17,14:47:20,0,사용자 피드백 내용 예시
Q-PILOT-015,user_04,C-590,현재 데이터베이스의 활성 세션 수가 임계치를 초과하는 경우가 잦은데 주로 어떤 쿼리가 리소스를 많이 점유하고 있는지 실행 계획이 비효율적인 상위 10개 쿼리 추출해줘,Llama 3,5. 결과 요약,SUCCESS,5,2025-12-17,13:35:32,0,사용자 피드백 내용 예시
